,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20221027,2022,10,27,5,K주,너무 좋아요. 아이들이 자기 이름으로 카드 가지게되어 너무 좋아하고.. 카드도 예뻐서 좋아요. 카드종류가 더 생기면 더욱좋겠어요. 집안일 미션해결해서 벌어 쓰는 방식이라 보람도 느끼고 생활습관 바꾸는데 큰 동기가 되는것도 같아요. 미션해결후 받는 방식이 소량금액이라.. 그때마다 충전해서 송금하는 방식이라 적은 돈 인출이 통장에 자주 많이 찍혀서 약간 부담스러워요. 적은돈도 송금되게 한건 좋지만 미션해결한 경우 포인트로 일단 적립되게 하고 '현금정산' 클릭하면 모은 포인트를 한꺼번에 송금되는 방법도 같이 되면 좋을것 같아요. 물론 현재로도 이용에는 아주 만족합니다. 앞으로도 아이들과 많이 많이 이용하도록 하겠습니다.
1,2,20221026,2022,10,26,3,Dong Ho Shin,"한동안 잘 사용했는데, 얼마 전부터 앱 실행 후 맨처음 화면에 오류가 발생합니다. 레이아웃만 나타나고 세부정보는 표시가 안됩니다. 고객센터에도 문의드려봤는데, 알려주신 방법 모두 잘 되질 않습니다. 전원 오프-비행기모드 off/on-재실행: 개선실패 앱 삭제 후 재설치: 개선실패 빠른 조치를 부탁드립니다."
2,3,20221027,2022,10,27,4,박애경,삼성 갤럭시폰 사용중입니다. 키즈모드에서는 인증샷촬영과 앨범에서 가져오기가 실행이 안돼서 미션수행하기 기능을 사용할 수 없습니다. 이 부분을 개선해 줄수 있을까요? 메뉴와 기능이 심플해서 아이와 함께 사용해보고 싶어요~
3,4,20220909,2022,09,09,5,동동이,어린이도 카드 만들어서 사용할 수 있고 UI가 쉬워서 좋습니다. 다만 테스트하느라 미션을 말도안되는금액을 써놨는데 삭제가 안됩니다. 미션 저장 기능 자체는 좋은데 삭제도 되었으면 좋겠습니다.
4,5,20220819,2022,08,19,3,전민서,원래 잘 썼는데 업데이트가 되면서 갑자기 결제가 안되네요. 그 전까지 카드로 이용하다가 카드를 못찾겠어서 핸드폰으로 결제하려고 했는데 멈추더니 꺼지거나 처음으로 돌아와 졌어요. 몇번이고 다시 해봤는데 계속 안되네요. 고쳐주세요. 집에서 해보니 됐는데 데이터를 써서 해봐도 꺼지네요. 그래도 카드로 계산은 잘돼요.
5,6,20211204,2021,12,04,4,김재원,다운받자마자 휴대폰번호치고 다음버튼이 눌러지지가 않습니다. 저같은 사람들이 많을거로 예상되고 대부분 리뷰에 안남기시고 그냥 앱 지우시는거같은데 다운받자마자 인증부분 다음버튼이 안눌러지는데 이부분 오류좀 해결해주셨으면합니다. 사람들은 간편한것을원하지 이거 오류 하나해결할려고 어디문의사항이나 복잡한경로로 가는건 더욱더 싫어할거같아요 빠르게 개선되어서 앱 승승장구하면좋겠네요
6,7,20210628,2021,06,28,5,토백이([_Iyeon] 이연),디자인도 깔끔하고 여러모로 사용하기 편한 구조였어요! 아이들이 사용하기에 적합한 것 같고 제로페이나 현금으로 사용할 수 있다는 점이 편리했어요 ❤😢 친구들에게도 알려줬는데 다들 정말 편하다는 반응이었구요! 평소에 용돈을 주는 일을 자주 잊곤 했는데 이렇게 하면 꼬박꼬박 용돈을 챙겨줄 수 있고 아이들이 돈의 개념에 대해 올바르게 배울 수 있는 것 같아 좋은 것 같네요 😆 다만 온라인에서는 사용할 수 없다는 점이 조금 아쉬웠어요. 요즘에는 오프라인 구매보단 온라인 구입을 선호하는 편이라 온라인에서 사용이 가능하다면 좋을 것 같네요! 🥰
7,8,20220422,2022,04,22,5,Seve lily,"일부러 후기 쓰러 왔어요 앱 디자인이 너무너무 예뻐요!! 처음에 가입할 때 이름이랑 주민번호, 전화번호 적는 화면이.. 진짜 지금까지 봐왔던 화면 중에 제일 예뻤어요 깔끔하다가 딱 다음 단계로 넘어갈 타이밍에 버튼이 생기고.. 디자이너분이 진짜 신경 많이 쓰셨다는 게 느껴졌어요! 그리고 뭔가 토스랑 개발자분들이 같거나 겹치고? 아니면 토스 영향을 받은 것 같았어요 뭔가 딱 토스 생각이 나더라구요 그리고 아직 제대로 사용해본 건 아니지만 독립적으로 용돈 관리하기 좋을 것 같아용"
8,9,20220529,2022,05,29,5,김병준,"일단 장점부터 말하겠습니다 1.퀄리티가 다른 앱에 비해 엄청좋음 2.자기에 이름으로 카드를 만들수있어서 부담감이 없음 3.용돈을 주고,받고,미션하고 얻을때 간편하고 불편한점이 없음 자,그럼 이제부터 단점을 말하겠습니다 1.큐알로 계산할때 큐알이 없으면 바코드 부위를 터치하고 직원께 제시할때 바코드 부위를 눌러도 아무런 변화가 없음 2.계속 자신의 계좌를 만드라고(통장이 하나 은행이 아닐때)할때 너무 계속 반복하다보니 불편,지루함 이 정도 빼곤 또 다른 단점이 없는것 같네요ㅎㅎ 앱 너무 잘 사용하고있고,이런 단점들은 좀 다른 방법으로 대체해주시면 단점 없는 앱이 될것같습니다 ㅎㅎㅎ 긴 글 읽어주셔서 감사해요~~(너무 긴 글인지 좀 걱정됌ㅋㅋ)"
9,10,20220318,2022,03,18,5,김수현,"업데이트 된 이후로 깔끔하게 바뀌고 돈을 여러방면으로 조금씩 벌 수 있어서 좋은 앱 같아요! 기분 리워드 아이디어 너무 좋은것같아요😀 학생이라 돈을 벌기 쉽지 않다 하시는분, 소소하게 용돈이 너무 부족하다 하시는 분들께 추천드려요! 아 그리고 체크카드 너무 예뻐요 잘 사용할게요!!"
10,11,20220203,2022,02,03,2,재생에너지,약관체크시 필수가 뭔지 표시를 안해놔서 짜증나네여.. 전체동의하면 약관내용 1번만 보이고 각각 체크하면 할때마다 약관내용보이게 해둔것도 그렇고.. 그리고 부모님동의를 거칠때도 아이 핸드폰에서 바로 인증하면 되지 무슨 또 문자를 보내가지고 부모핸드폰에서 인증을 하게하는 이 불편한.. 뭔가 사용자편의를 하나도 고려하지 않은 가입과정이 별점이 낮게 만드는 듯.. 그리고 알바비 주는것에서도 왜 꼭 사진이 필수여야하는지... 사진을 봐야지만 아는것도 아닌데.. 빨리 고치세여..
11,12,20230114,2023,01,14,4,문초희,좋은점 1.재발급이 가능하다 ㄴ 이건 진짜 좋은것 같아요 2.이벤트를 열어서 좋다 ㄴ돈은 거의다 좋죠 3.온라인으로 사용할수있다 ㄴ걍 너무 좋아요 온라인으로 살수있으면 4.디자인이 예쁘다 ㄴ심플한것도 있고 귀여운것도 있으니 좋은것 같아요 안좋은점 1.카드 비밀번호 오류가 뜬다 ㄴ 지금제가 겪고 있는데요 제 주민번호에 안들어간 번호를 써도 잘 안되네요 이거 고객센터에서 물어봐야 하나요? 아님 제 폰이 이상한가요? 지웠다 깔아도 계속 오류가 뜨네요
12,13,20221208,2022,12,08,4,로쏠호,"이 앱을 쓰고 있는 아이입니다. 앱의 기능들은 만족하지만, 이 버그를 고쳐주셨으면 합니다. 계속 퀴즈 풀때마다 중복 거랜가 뭔가 떠서 zu계속 날라갑니다. 안 뜨게 고쳐주시거나, zu 차감 안되게 고쳐주시기 바랍니다."
13,14,20221125,2022,11,25,5,홍진아,너무너무 좋고 재밌어요!소행성에서 퀴즈 푸는것도 재밌어요!근데여 제가 궁금한게 있어요. 제가 이번 이벤트에 참여를 했는데 카톡이 없고 문자 메서지만 있어서 당첨이 되면 문자 메세지로도 문자가 올까 너무 궁금해요.당첨이 돼도 문자가 안오면 안되니까...답변 꼭 부탁드려요!
14,15,20221123,2022,11,23,5,제페토 하니{ハニーHani},앱은 심플하고 엄마와 함께 잘 사용하고 있습니다. 추가 하고픈 내용 있어 말씀 들립니다. 아이부자 기능에 n주 동안 계획세우기 라는 기능이 있는데요. 그 기능이 아닌 자기가 사용한 것을 알고 쓸 수 있는 용돈 기입장 기능이 있었음 좋겠습니다. 감사합니다.
