,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20220509,2022,05,09,4,문장미,대체로 다 좋고 잘쓰고 있어요.귀찮은날 빼먹다보면 한동안 오래 안쓰다보니.습관이 중요하네요. 새로.영수증 사진찍기 저장 하는것.검색 기능이 추가되면 너무너무 좋을거 같아요. 희망사항이지만.앞으로 더 발전하는 좋은앱 기대합니다.
1,2,20220418,2022,04,18,3,Jessie Won,"전체적으로는 만족스러운 구성입니다만 .. 통화가 하나밖에 설정이 안 되는 것이 아쉽고, 통화별 사용구분이 안 되며, 저장한 통화가 유지되지 않아, 달러로 저장해도 한화로 통화설정을 바꾸면 환산이 아니라 통화 표기만 바뀌어서 불편합니다. 예를들어, 100달러를 저장 해 놓고, 5만원 지출이 있어 한화로 통화를 바꾸면 이전에 저장한 100 달러는 100원으로 표기가 되는거죠... 이럴꺼면 계정추가 기능이라도 있어야 두 버젼으로 나눠서라도 관리가 될텐데... 많이 아쉽네요. 요즘은 달러 저축하는 사람도 많은데..."
2,3,20210315,2021,03,15,5,Jaehun Kim,쉽고 간단해서 쓰기 편하네요. 가계부 쓴다 쓴다 했는데 다른 앱들의 구성이 복잡해서 쓰기 힘들었는데 이건 정말 너무도 간단해서 아주 좋습니다.
3,4,20220224,2022,02,24,4,백진금,월 기준일 바꾸는 기능은 없나요? 설정메뉴를 찾을수가 없는데 아예 없는건가요. 아니면 제가 못찾는거라면 위치 좀 알려주세요..메뉴같은것도 안보이고..
4,5,20220601,2022,06,01,5,Stephanos,간단하고 사용하기 쉽고 좋습니다. 딱 한가지 부족한거는 목록 추가가 안되네요.
5,6,20210322,2021,03,22,5,조땡 Joe TThang,직관적인 디자인으로 초보자도 가계부를 쉽고 간단하게 쓰기 편한거 같습니다 ㅎㅎ
6,7,20210516,2021,05,16,4,김혜원,다 좋은데 지출 분류목록을 수정할수 있다면 진짜 완벽할거같아요ㅠㅠ 수정할수있다면 방법 부탁드릴게요...
7,8,20210321,2021,03,21,5,두둔둔,디자인도 깔끔하고 소비유형도 구분해주고 절약을 위한 가계부로는 넘 괜찮네요~!
8,9,20210718,2021,07,18,4,강아리,별5개 리뷰를 썼는데 안 보이는 것 같아용 그냥 간단히 적을게욤 앱 좋고 나름 잘 쓰고 있지만 쇼핑의 기타 항목이 자꾸 음식 아이콘으로 뜨는 문제를 해결 해 주세요
9,10,20210314,2021,03,14,5,김건형,상당히 심플하고 한 눈에 확들어오는게 좋습니다 ㅎㅎㅎ 일단 돈이 많아져라~~~
10,11,20210314,2021,03,14,5,Diego 디에고 (YJ),심플하고 알기쉬운 구성이네요 가계부 활용으로 좋습니다
11,12,20210315,2021,03,15,5,장만호,다른 가계부 어플에 비해 간단하고 이뻐서 사용하기 좋네요 !!
12,13,20210428,2021,04,28,5,손봉진,가계부앱을 많이써봤는데 주요기능들이 잘정리된거같네요. 추천~!
13,14,20210325,2021,03,25,5,nevertheless,가계부어플 처음써보는데 간결하고 깔끔해서 괜찮네요. 추천합니다.
14,15,20210722,2021,07,22,4,홍하용,쉽고 편하게 사용하기 좋은데 보험 같은경우는 전월 금액 가져오는 방법은 없나요?
15,16,20210315,2021,03,15,5,gam ungg,보기도 쓰기도 속도도 다좋아요ㅎㅎ
16,17,20211008,2021,10,08,2,강지예,문자불러오기가 아예없는건가요? 카드사용내역 문자로불러오기 안돼는듯하여 지웠어요
17,18,20210314,2021,03,14,5,이대호,깔끔하니 사용하기 편리합니다.
18,19,20210314,2021,03,14,5,jaeyeon Oh,훌륭한어플이네요 잘사용하겠습니다
19,20,20210314,2021,03,14,5,떠우떠우,내 자산이 한눈에 확 들어옵니다~ 편한어플인거 같아요~
20,21,20210905,2021,09,05,1,yh park,광고랑 가계부 디테일이 지저분해요
21,22,20210314,2021,03,14,5,Aiden Kim,레몬트리 참 편리하고 좋네요. 타이완 남바완!! 레몬트리 남바완!! 가계부 남바완!!
22,23,20210322,2021,03,22,5,이시현,지출 내역을 한눈에 보기 좋아요~
23,24,20210314,2021,03,14,5,조준희 (SkinH),깔끔하고 유용합니다
24,25,20210314,2021,03,14,5,YeonWoo Lee,한눈에 수입지출이 보기좋아요
25,26,20210414,2021,04,14,5,김원규,유익해요
26,27,20211217,2021,12,17,3,라벤더,버그 수정
27,28,20210314,2021,03,14,5,곰같은집사,굿굿
